Part;Property ID;IsSpecialisedOf;Property type;Creators language;Names in language de-DE;Definitions in language de-DE;Descriptions in language de-DE;Examples in language de-DE;Names in language EN;"Definitions in language EN
(Ralf 1)";Descriptions in language EN;"Examples in language EN
(Ralf 2)";Symbols of the property in a given property group;Visual representation;Country of use;Subdivision of use;Country of origin;Status;Date of creation;Date of activation;Date of last change;Date of revision;Date of version;Date of deactivation;Version number;Revision number;Replaces;Replaced by;Deprecation explanation;Reference to standard or document;Reference to VDI 3805 record no;QuantityID;UnitNo;Method of measurement;Data Type;List of Possible Values;abstract_property with superset of values;Class assignment;Parameters of the dependent property;Type of enumeration;Classification system;Identifier ETIM;ETIM Mapping Quality;Definition ETIM;Identifier IFC 2_3;IFC 2_3 Mapping Quality;Definition IFC 2_3;Identifier IFC 4x;IFC 4x Mapping Quality;Definition IFC 4x;Identifier CIBSE;CISBE Mapping Quality;Definition CIBSE;Identifier prodBIM;prodBIM Mapping Quality;Definition prodBIM;Identifier ECLASS;ECLASS Mapping Quality;Definition ECLASS;Identifier UniversalType;UniversalType Mapping Quality;Definition UniversalType;P002 Class assignment;P003 Class assignment;P004 Class assignment;P005 Class assignment;P006 Class assignment;P007 Class assignment;P008 Class assignment;P009 Class assignment;P010 Class assignment;P011 Class assignment;P012 Class assignment;P013 Class assignment;P014 Class assignment;P015 Class assignment;P016 Class assignment;P017 Class assignment;P018 Class assignment;P019 Class assignment;P020 Class assignment;P021 Class assignment;P022 Class assignment;P023 Class assignment;P024 Class assignment;P025 Class assignment;P026 Class assignment;P027 Class assignment;P028 Class assignment;P029 Class assignment;P030 Class assignment;P031 Class assignment;P032 Class assignment;P033 Class assignment;P034 Class assignment;P035 Class assignment;P036 Class assignment;P037 Class assignment;P038 Class assignment;P039 Class assignment;P040 Class assignment;P041 Class assignment;P042 Class assignment;P043 Class assignment;P044 Class assignment;P045 Class assignment;P046 Class assignment;P047 Class assignment;P048 Class assignment;P049 Class assignment
22;P022.0003;;1;de-DE;Wärmequelle;;;"1 = Außenluft
2 = Raumluft/Abluft
3 = Erdwärme
4 = Grundwasser/Wasser
5 = Abwasser/Abwärme/Prozesswärme
6 = Kellerluft
99 = sontiges";Heat source;Heat Source;;Origin of the temperature of an object that produces or radiates heat;;;DE;;DE;;;;;;;;;;;;;;22-200-2;without;;;string enum;1, 2, 3;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;D008.1001;3;2;de-DE;aufstellungsabhängiger Geräteschallleistungspegel;;;"1 = innen
2 = aussen";;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;;P001.0195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0012;;1;de-DE;Leistungsregelung der Wärmepumpe (Kompressor);;;"1 = 1-stufig (on/off)
2 = 2-stufig
3 = 3-stufig
4 = 4-stufig
5 = modulierend";Heat pump output control;;;;;;DE;;DE;;;;;;;;;;;;;;22-460-2;without;;;string enum;1, 2;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0020;;1;de-DE;Heizleistung;;Heizleistung für: Luft–Wasser bei A2/W35, Sole–Wasser bei B0/W35, Wasser–Wasser bei W10/W35, direkt bei E4/W35;;heating output;HeatingCapacity A2/W35;heating output for: air/water at A2/W35, brine/water at B0/W35, water/water at W10/W35, direct at E4/W35;"heat given off by the unit to the heat transfer medium per unit of time, corrected from any fan or pump heat where applicable
[Source: EN 14511-1]";PH;;DE;;DE;;;;;;;;;;;;;EN 14511-1;22-700-5;Q2600 (Leistung);6;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0021;;1;de-DE;Leistungszahl;;Heizleistung für: Luft–Wasser bei A2/W35, Sole–Wasser bei B0/W35, Wasser–Wasser bei W10/W35, direkt bei E4/W35;;coefficient of performance;;heating output for: air/water at A2/W35, brine/water at B0/W35, water/water at W10/W35, direct at E4/W35;;;;DE;;DE;;;;;;;;;;;;;;22-700-6;Q8002 (Faktor);1;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0022;;1;de-DE;elektrische Aufnahmeleistung Wärmepumpe;;Heizleistung für: Luft–Wasser bei A2/W35, Sole–Wasser bei B0/W35, Wasser–Wasser bei W10/W35, direkt bei E4/W35;;input power heat pump;Effective Power Input;heating output for: air/water at A2/W35, brine/water at B0/W35, water/water at W10/W35, direct at E4/W35;"average electrical power input of the unit within the defined interval of time, obtained from:
— power input for operation of the compressor and any power input for defrosting;
— power input for all control and safety devices of the unit;
— proportional power input of the conveying devices (e.g. fans, pumps) for ensuring the transport of
the heat transfer media inside the unit";;PE;DE;;DE;;;;;;;;;;;;;EN 14511-1;22-700-7;Q2600 (Leistung);6;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0023;;1;de-DE;Jahresarbeitszahl;;;;Seasonal Coefficient of Performance;Seasonal Coefficient of Performance;;overall coefficient of performance of the unit, representative for the whole designated heating season;;SCOP;;;;;;;;;;;;;;;;EN 14825;;;;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8,22,36;P001.0301;;1;de-DE;Schutzklasse;;;"0 = kein besonderer Schutz
1 = Schutzleiter, geerdet
2 = schutzisoliert
3 = Schutz durch Kleinspannung";Protection class;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0027;;1;de-DE;Max elektr. Leistungsaufnahme ;;(ohne elektr. Zusatzheizung);;maximum supply temperature;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2600 (Leistung);6;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0033;;1;de-DE;Verdichteranzahl;;;;Number of compressors;;;;;;DE;;DE;;;;;;;;;;;;;;22-700-22;Q8003 (Anzahl);1;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0037;;1;de-DE;Betriebsweise der Wärmepumpe;Mehrfachauswahl der Enumeration ??;;"1 = monovalent
2 = monoenergetisch
3 = bivalent-alternativ
4 = bivalent-parallel
5 = bivalent-teilparallel";Operating mode;OperatingMode;;Kind of use of the heat pump;;;DE;;DE;;;;;;;;;;;;;EN 14511-1;;;3;;string enum;;A001.0011, 1, 3, 4, 5, 6;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0031;;1;de-DE;Heizwassertemperaturspreizung;Vielleicht in Klasse Heizkreis ??;;;heating-water temperature spread;Temperature Spread of the heating Liquid;without backup heat (e. g., heating rod);Temeprature difference between the inlet and outlet of the media inside the water loop of the heat pump;ΔT;;DE;;DE;;;;;;;;;;;;;;22-700-17;Q5000 (Temperatur);1;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0031;;1;de-DE;Wasserinhalt;;;;;;;;;;DE;;DE;;;;;;;;;;;;;;22-700-17;Q1030 (Rauminhalt);10;;float;;;C022.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0512;;1;de-DE;Minimaler Betriebsüberdruck;Der minimale Druck, der für ein Bauteil oder Gerät auf Grund der verwendeten Werkstoffe und den Berechnungsregeln bei der festgelegten Arbeitstemperatur zulässig ist.;Überdruck ist die Bezeichnung für Druck, der relativ zum Atmosphärendruck bzw. Luftdruck gemessen wird. Wert = 0 ist drucklos.;;Minimum allowable operating pressure;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2200 (Druck);6;;float;;;C022.0001;;;;EF020449;;Maximum Heating Operating Pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0513;;1;de-DE;Maximaler Betriebsüberdruck;Der Druck, der für ein Bauteil oder Gerät auf Grund der verwendeten Werkstoffe und den Berechnungsregeln bei der festgelegten Arbeitstemperatur zulässig ist.;Überdruck ist die Bezeichnung für Druck, der relativ zum Atmosphärendruck bzw. Luftdruck gemessen wird. Wert = 0 ist drucklos.;;Maximum allowable operating pressure;;;;;;DE;;DE;;;;;;;;;;;;;;36-700-13;Q2200 (Druck);6;;float;;;C022.0001;;;;EF020449;;Maximum Heating Operating Pressure;;;;;;;EF020449;;Maximum Heating Operating Pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gehäuse der Monoblock-Wärmepumpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;P022.0154;;1;de-DE;Aufstellungsort;;;"1 = Aussen
2 = Innen";;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string enum;;;C022.0004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022AirWaterHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22,36,43;P001.0101;;1;de-DE;Werkstoff des Gehäuses;;;"0 = unbesetzt
3 = nicht rostender Stahl
6 = Stahl
12 = Aluminium 
200 = Kunststoff
9999 = sonstiges";Material of the housing;Material;;Material of the housing;;;DE;;DE;;;;;;;;;;;;;;36-200-2;without;;;string enum;;A001.0001,0,3,6,12,200,9999;;;;;EF002155;über gesetzliche Vorgabe 3rd Part certification;Tank Construction Material;;;;;;;EF002155;über gesetzliche Vorgabe 3rd Part certification;Tank Construction Material;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatPump;;;;;;;;;;;;;;prod036InstantaniousWaterHeater;;;;;;;prod043PressureMaintainingDevice;;;;;;
22,36,43;P001.0201;;1;en-EN;Oberfläche des Gehäuses;;;"0 = unbesetzt
1 = unbehandelt
5 = pulverbeschichtet
6 = feuerverzinkt 
7 = galvanisch/elektrolytisch verzinkt
9 = Plastic-coated
12 = pulverbeschichtet und lackiert
13 = galvanisch/elektrolytisch verzinkt und pulverbeschichtet
16 = lackiert
17 = poliert
18 = gebürstet
19 = geätzt
20 = gestrahlt
99 = sonstiges";Surface of the housing;Surface;;Surface of the housing;;;EN;;EN;;;;;;;;;;;;;;;without;;;string enum;1, 2, 3;A001.0002,0,1,17,99;prod22MonoblocHeatPump,prod36InstantaniousWaterHeater,prod43PressureMaintainingDevice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Farbe;;;;Color;Colour;;Colour of the housing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;A001.0300;;1;de-DE;Schutzart;noch Aufstellungsabhängig machen;z.B. IP55, IP68;IP54;Protection class;;e.g. IP55, IP68;IP54;;;DE;;DE;;;;;;;;;;;;;;;;;;string;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Heizkreis der Monoblock-Wärmepumpe (ohne Zusatzheizung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0509;;1;de-DE;Material im Heizkreis;;;"0 = unbesetzt
3 = nicht rostender Stahl
6 = Stahl
12 = Aluminium 
14 = Kupfer
9999 = sonstiges";Material heating circuit;;;;;;DE;;DE;;;;;;;;;;;;;;;;2;;string enum;;A001.0001,0,3,6,12,14,9999;B022.0001,B003.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0510;;1;de-DE;minimaler Volumenstrom;;minimal notwendiger Volumenstrom;;volume flow rate, heating side ;;;;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;B022.0001,B003.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0511;;1;de-DE;maximaler Volumenstrom;;maximal zulässiger Volumenstrom;;volume flow rate, heating side ;Liquid Flow Rate;;volume of fluid passing a cross-section during defined time;;;DE;;DE;;;;;;;;;;;;;;;Q1400 (Volumenstrom);3;;float;;;B022.0001,B003.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0514;;1;de-DE;minimale Vorlauftemperatur;;;;minimum supply temperature;;;;;;DE;;DE;;;;;;;;;;;;;;22-700-16;Q5000 (Temperatur);2;;float;;;B022.0001,B003.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0515;;1;de-DE;maximale Vorlauftemperatur;;;;maximum supply temperature;;;;;;DE;;DE;;;;;;;;;;;;;;22-700-16;Q5000 (Temperatur);2;;float;;;B022.0001,B003.0001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kältemittelkreis der Monoblock-Wärmepumpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0100;;1;de-DE;Beschreibung;;;;Dispription;;;;;;DE;;DE;;;;;;;;;;;;;;;;;;string;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;prod022MonoblocHeatpump;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0610;;1;de-DE;eingesetztes Kältemittel;;z. B. R-407c, R-290, R-404a, R-134a, R-410a usw. (Schreibweise nach DIN 8960 Absatz 6) R-zzzbb (wobei): R = Refrigant, Z = Ziffernfolge (Rückschluss auf die Summenformel), bb = Variation der Strukturformel;;Refrigerant used;Refrigerant;;a chemical substance that can be used to make or keep things cold;;;DE;;DE;;;;;;;;;;;;;;20-710.17-4;;;;string;;;B022.0002;;;;EF000446;;;;;;;;;EF000446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0611;;1;de-DE;Füllmenge des Kältemittels;;;;refrigerant capacity ;Quantity Refrigerant;;Amount of refrigerant inside the refrigerant loop of the heat pump;;;DE;;DE;;;;;;;;;;;;;;;Q2000 (Masse);1;;float;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;A001.0613;;1;de-DE;CO2-Äquivalent des Kältemittels;;;;refrigerant capacity ;;;;;;DE;;DE;;;;;;;;;;;;;;;Q2000 (Masse);14;;float;;;B022.0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
