Part;VDI-ID;IsSpecialisedOf;Category;Creators language;Names of the classes;Names in language de-DE;Definitions in language de-DE;Descriptions in language de-DE;Names in language EN;Definitions in language EN;Descriptions in language EN;Visual representation;Country of use;Subdivision of use;Country of origin;Status;Date of creation;Date of activation;Date of last change;Date of revision;Date of version;Date of deactivation;Version number;Revision number;Replaces;Replaced by;Deprecation explanation;Reference to standard or  document;Reference to VDI 3805;Parent Class;Has Blocks;Has Parts;Classification system;Identifier ETIM;ETIM Mapping Quality;Definition ETIM;Identifier IFC 2_3;IFC 2_3 Mapping Quality;Definition IFC 2_3;Identifier IFC 4x;IFC 4x Mapping Quality;Definition IFC 4x;Identifier CISBE;CISBE Mapping Quality;Definition CISBE;Identifier Omniclass;Omniclass Mapping Quality;Definition Omniclass;Identifier DIN 276;Identifier CAFM ;CAFM Mapping Quality;Definition CAFM;Identifier ECLASS;ECLASS Mapping Quality;Definition ECLASS;Identifier VDI 2552;VDI 2552 Mapping Quality;Definition VDI 2552;Identifier prodBIM;prodBIM Mapping Quality;Definition prodBIM
22;B022.0003;B000.0003;2;DE-de;blocBrineCircuitMonoblocHeatPump;Solekreislauf der Monoblock-Wärmepumpe (bei B0/W35);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0004;B000.0004;2;DE-de;blocWaterCircuitMonoblocHeatPump;Wasserkreislauf der Monoblock-Wärmepumpe (bei W10/W35);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0005;B000.0005;2;DE-de;blocAirCircuitMonoblocHeatPump;Luftkreislauf der Monoblock-Wärmepumpe (bei A2/W35);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0010;B022.0010;2;DE-de;blocAirOpenCircuitMonoblocHeatPump;Luftkreislauf der Monoblock-Wärmepumpe (bei A2/W35) bei offenenr Luftansaugung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0011;B022.0011;2;DE-de;blocAirDuctCircuitMonoblocHeatPump;Luftkreislauf der Monoblock-Wärmepumpe (bei A2/W35) bei offenenr Luftansaugung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0011;;2;DE-de;blocBrineWaterHeatpumpCooling;Sole-Wasser Wärmepumpe kühlen;sinnvoll?? Oder in Sole-WP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0012;;2;DE-de;blocWaterWaterHeatpumpCooling;Wasser-Wasser Wärmepumpe kühlen;sinnvoll?? Oder in Wasser-WP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0013;;2;DE-de;blocAirWaterHeatpumpCooling;Luft-Wasser Wärmepumpe kühlen;sinnvoll?? Oder in Luft-WP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0014;;2;DE-de;blocLimitOperatingTemperature;Einsatzgrenzen der Wärmequelle;;;;heat source limit ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0015;;2;DE-de;blocPerformanceData-I;Leistungsdaten I;;;;Performance data I;;;;;;;;;;;;;;;;;;;;;blocPerformanceData-II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0016;;2;DE-de;blocPerformanceData-II;Leistungsdaten II;;;;Performance data II;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0017;;2;DE-de;blocEU-RegulationNo517-2014;EU-F-GAS-Verordnung 517/2014;;;;EU Regulation No 517/2014 on fluorinated greenhouse gases;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0018;;2;DE-de;blocClimateZoneDependentErPdata;Klimaabhängige ErP-Daten;;;;Climate-zone-dependent ErP data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0018;;2;DE-de;blocLoadProfileDependentErPdata;Lastprofil-abhängige ErP-Daten;;;;Load-profile-dependent ErP data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0030;;2;DE-de;blocHeatSourcePump;Wärmequellenpumpe ;ggf. auch als eine Produktklasse aus Part04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0031;;2;DE-de;blocHeatingCirculationPump;Heizungsumwälzpumpe;ggf. auch als eine Produktklasse aus Part04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0032;;2;DE-de;blocElectricalAuxiliaryHeating;Elektrische Zusatzheizung;ggf. auch als eine Produktklasse aus Part200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;C043.0002;;2;DE-de;Part043DiaphragmExpansionVessel;Membranausdehnungsgefäß;Part43;;;;;;;;;;;;;;;;;;;;;;;prod022CompactHeatpumps;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0034;;2;DE-de;blocDomesticHotWaterTank;interne Trinkwasserspeicher;ggf. auch als eine Produktklasse aus Part20;;;;;;;;;;;;;;;;;;;;;;;;blocLoadProfileDependentErPdata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0035;;2;DE-de;blocStorageTank;interner Pufferspeicher;ggf. auch als eine Produktklasse aus Part20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;B022.0036;;2;DE-de;blocCoolingTower;externer Kühlturm;ggf. auch als eine Produktklasse aus Partxxx;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;T001.0014;;4;DE-de;portElectricalConnectionData;Elektrische Anschlussdaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
