PropertyID;ValueNo;Creators language;Nominal value in language de-DE;Definitions in language de-DE;Nominal value in language EN;Ralf;Ralf;Country of use;Subdivision of use;Country of origin;Status;Date of creation;Date of activation;Date of last change;Date of revision;Date of version;Date of deactivation;Version number;Revision number;Replaces;Replaced by;Deprecation explanation;Reference to standard or  document;Reference to VDI 3805;Identifier ETIM;Value CIBSE;Definition CIBSE;Identifier prodBIM;Identifier ECLASS;Identifier IFC
P22.0003;4;DE-de;Grundwasser/Wasser;;groundwater/water;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0003;5;DE-de;Abwasser/Abwärme/Prozesswärme;;wastewater/waste heat/process heat;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0003;6;DE-de;Kellerluft;;basement air;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0003;99;DE-de;sonstige;;other ;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Betriebsweise der Wärmepumpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0037;1;DE-de;monovalent;;;Monovalent;Use only one source of energy to produce heat at the perating mode;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0037;2;DE-de;monovalent elektr. nachgeheizt;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0037;3;DE-de;bivalent solar;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0037;4;DE-de;bivalent solar elektr. nachgeheizt;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0037;99;DE-de;sonstige;;other ;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Kühlfunktion (Kälteprinzip);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P22.0007;0;DE-de;keine Kühlfunktion möglich;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0007;1;DE-de;integrierte aktive Kühlfunktion;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0007;2;DE-de;integrierte passive Kühlfunktion;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0007;3;DE-de;integrierte aktive und passive Kühlfunktion;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0007;4;DE-de;passive integriert und aktive Kühlfunktion optional durch externe Zusatzmodule möglich;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0007;5;DE-de;optional, durch externe Zusatzmodule möglich;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0007;99;DE-de;sonstige;;other ;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Bauart des Monoblocks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P22.0009;1;DE-de;standalone;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0009;2;DE-de;Mit externe Luftkühler;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0009;3;DE-de;Mit Hydraulikmodul;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Aufstellungsort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P22.0010;1;DE-de;innen;;indoor;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0010;2;DE-de;außen;;outdoor;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0010;3;DE-de;innen/außen;;indoor/outdoor;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0010;4;DE-de;innen Eck;;indoor corner;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Leistungsregelung der Wärmepumpe (Kompressor);;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P22.0012;1;DE-de;1-stufig (on/off);on/off;1-stage ();;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0012;2;DE-de;2-stufig;;2-stage;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0012;3;DE-de;3-stufig;;3-stage;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0012;4;DE-de;4-stufig;;4-stage;;;DE;;;;;;;;;;;;;;;;;;;;;;
P22.0012;5;DE-de;modulierend;;modulating;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Anlaufstrombegrenzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0023;0;DE-de;keine;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0023;1;DE-de;durch Inverter;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0023;2;DE-de;durch Sanftanlasser;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0023;3;DE-de;durch Teilwicklungsstart;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Norm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0031;2;DE-de;DIN EN 14511;;DIN EN 14511;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0031;3;DE-de;DIN EN 14825;;DIN EN 14825;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0031;4;DE-de;DIN EN 16147;;DIN EN 16147;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0031;5;DE-de;DIN EN 15879-1;;DIN EN 15879-1;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Verdichtertyp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0035;1;DE-de;Hubkolbenverdichter;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0035;2;DE-de;Rollkolbenverdichter;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0035;3;DE-de;Schraubenverdichter;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0035;4;DE-de;Scrollverdichter;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0035;5;DE-de;Swingverdichter;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0035;99;DE-de;sonstiges;;other ;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Art der Kühlung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0110;0;DE-de;keine;;active;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0110;1;DE-de;aktiv;;active;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0110;2;DE-de;passiv;;passive;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Kühlfunktion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0112;1;DE-de;interne Kühlfunktion;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0112;2;DE-de;interne Kühlfunktion;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Abtauart;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0150;1;DE-de;Kreislaufumkehr;;reverse cycle;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0150;2;DE-de;Heißgasbypass;;hot-gas bypass;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0150;3;DE-de;Sonstige;;other;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Bauart Verdampfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0170;1;DE-de;Rohrverdampfer;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0170;2;DE-de;xx;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Werkstoff Verdampfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0171;1;DE-de;Kupfer;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0171;2;DE-de;Kupfer PE beschichtet;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0171;3;DE-de;Kunststoffrohrsystem;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Betrieb der Wärmepumpe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0180;1;DE-de;Heizen;;Heating;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0180;2;DE-de;Kühlen;;Cooling;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0180;2;DE-de;Warmwasser;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Art der Leistung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0200;1;DE-de;Heizleistung;;heating output;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0200;2;DE-de;Kühlleistung;;cooling output;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Schaltung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0300;0;DE-de;stufenlos;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0300;1;DE-de;1-stufig;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0300;2;DE-de;2-stufig;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0300;3;DE-de;3-stufig;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0300;n;DE-de;n-stufig;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
;Bauart des Kältekreis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P022.0504;1;DE-de;hermetisch geschlossen;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
P022.0504;2;DE-de;nicht hermetisch geschlossen;;;;;DE;;;;;;;;;;;;;;;;;;;;;;
