Code,Name,Description,Example,Interconnected data dictionaries management rule,Request form management rule,Type,List of values
PA021,Group(s) of properties,"GUID(s) of groups containing this property","945DA01F-9BBD-4D9D-80C7-02AF85C822A8","Mandatory","Mandatory","List of GUIDs","Multiple values"
PA022,Symbols of the property in a given property group,"List of (symbol,groupGUID) pairs","(λ,936DA01F-9ABD-4B6D-80C7-03BF85C822A8)","Optional","Optional","Unicode text","Multiple values"
PA023,Visual representation,"Sketch/photo/video/URL","—","Optional","Optional","Mixed","Multiple values"
PA024,Country of use,"Country(ies)/region(s) where property is relevant","FR; US; NO","Mandatory","Mandatory","Choose","Multiple values (ISO 3166-1)"
PA025,Subdivision of use,"Region-of-use within country","US-MT","Optional if country set","Optional if country set","Choose","Multiple values (ISO 3166-2 etc.)"
PA026,Country of origin,"Where requirement originated","FR","Optional","Optional","String","Single value (ISO 3166-1)"
PA027,Physical quantity,"List of (quantity,language) pairs","(Mass|en-EN); (Masse|fr-FR)","Mandatory","Mandatory","String","Multiple values (ISO 80000 or 'without')"
PA028,Dimension,"ISO 80000 base-quantity exponents","1 0 −2 0 0 0 0","Mandatory if physical","Mandatory if physical","String","‘L M T I θ N J’ vector"
PA029,Method of measurement,"Reference to test/evaluation method","ISO 10077-1","Optional","Optional","String","Single value"
PA030,Data type,"Storage format / ISO 11404 type","real; integer; array(1..m) of integer","Mandatory (derived)","Mandatory","String","Single value"
PA031,Dynamic property,"Is value calculated?","No","Mandatory","Mandatory","String","Yes | No"
PA032,Parameters of the dynamic property,"GUID(s) of parameter properties","—","Optional if not dynamic / Mandatory if dynamic","Optional / Mandatory","List of GUIDs","—"
PA033,Units,"Permissible units for value","m2; mm; kg; unitless","Optional (consistent)","Optional (consistent)","String","Multiple values (ISO 80000 / ISO 4217 / ISO 8601)"
PA034,Names of the defining values,"Column-header list for arrays","(frequency|en-EN); (fréquence|fr-FR)","Optional if array","Optional if array","List of pairs","—"
PA035,Defining values,"Actual header values for array property","(25,50,75); (0.4,0.5,0.6)","Optional","Optional","List","—"
PA036,Tolerance,"Permitted variation for numerical value","—","Optional","Optional","Real","Multiple values"
PA037,Digital format,"(precision,unit) for digital text","(1E-2,W/m2.K)","Optional (derived)","Optional (derived)","Pair","Multiple values"
PA038,Text format,"(encoding,chars) for string","(UTF-8,32)","Optional","Mandatory if string","Pair","Single value"
PA039,List of possible values in language N,"Enumerated permitted values","(Yes|en-EN); (No|en-EN)","Optional","Optional","List of pairs","Multiple values"
PA040,Boundary values,"((intervals),unit) for permissible range","{(-15,-10),(-5,15)},°C","Optional","Optional","Pair","—"
